Polarity,Time(min),mz,Area,Identification,mz Identification,MS/MS Sampled,Identified Lipid Feature,Redundant ID
+,1.674,670.33966,47539.33657,,,false,false,,
+,1.676,304.29965,630804.9188,,,false,false,,
-,1.678,299.25903,145917.3605,,,true,false,,
-,1.68,530.29004,22589.98264,,,false,false,,
-,1.681,588.33173,74991.02449,,,false,false,,
+,1.681,444.36813,27571.25846,,,false,false,,
-,1.682,612.33173,82656.13953,,,true,false,,
-,1.684,668.33429,32699.5718,,,false,false,,
-,1.685,249.18588,39515.12626,,,false,false,,
-,1.686,473.29211,21118.23535,,,false,false,,
+,1.693,524.33539,424016.7989,,,true,false,,
+,1.699,533.8844,83594.40688,,,false,false,,
+,1.707,556.30322,67552.28435,,,false,false,,
+,1.708,546.31665,29485.09741,,,false,false,,
-,1.71,697.35852,26372.4237,,,false,false,,
-,1.713,478.29407,1814434.679,LysoPE 18:1,,false,false,true,
+,1.714,438.35782,12355.90047,,,false,false,,
+,1.717,422.33902,35204.45972,,,false,false,,
+,1.718,616.23376,22680.94885,,,false,false,,
+,1.718,500.37262,19799.80487,,,false,false,,
+,1.719,480.30859,2665614.164,LysoPE 18:1,,false,false,false,
+,1.721,482.2879,45181.55969,,,false,false,,
+,1.723,629.43555,27380.11341,,,false,false,,
-,1.724,480.27344,25285.15031,,,false,false,,
+,1.73,348.32584,28542.71967,,,false,false,,
-,1.733,468.31033,15196.90801,,,false,false,,
-,1.737,582.34161,37840.70598,,,false,false,,
-,1.738,542.32599,5463.713885,,,false,false,,
+,1.739,346.31021,19800.7771,,,false,false,,
-,1.745,700.32001,11817.23679,,,false,false,,
+,1.745,756.25671,16534.74958,,,false,false,,
-,1.746,616.23572,30327.08143,,,false,false,,
-,1.75,285.24344,21957.90662,,,false,false,,
-,1.752,511.30475,22808.0737,LysoPG 18:0,,false,false,false,
+,1.755,778.23846,4240.123047,,,false,false,,
+,1.756,477.52628,23996.06834,,,false,false,,
+,1.757,666.43433,46905.61886,,,false,false,,
-,1.76,516.31,369068.5037,,,true,false,,
-,1.76,1037.66016,6016.751276,,,false,false,,
-,1.761,441.20328,66832.11923,,,true,false,,
-,1.763,1045.62756,3276.31222,,,false,false,,
+,1.763,518.32178,566094.7237,,,true,false,,
-,1.764,319.26416,8223.125387,,,false,false,,
+,1.766,377.3049,86766.16088,,,false,false,,
+,1.77,540.30658,28338.36218,,,false,false,,
+,1.771,441.2612,1457404.318,,,true,false,,
+,1.771,267.17429,203443.991,,,true,false,,
+,1.772,522.57007,9861.979529,,,false,false,,
-,1.773,340.28577,17646.74291,,,false,false,,
-,1.774,598.31415,6074.731929,,,false,false,,
-,1.775,618.37817,61331.33689,,,false,false,,
-,1.777,664.42072,8775.523537,,,false,false,,
-,1.778,604.23645,15234.73596,,,false,false,,
+,1.778,922.66663,8327.588816,,,false,false,,
-,1.789,697.35852,49940.76863,,,true,false,,
+,1.789,560.37109,234192.4988,,,false,false,,
+,1.793,439.34198,27494.9996,,,false,false,,
-,1.794,438.2999,30863.45218,,,false,false,,
+,1.795,699.37225,21972.85917,,,false,false,,
+,1.796,477.33267,1.822207568E7,,,true,false,,
-,1.799,580.31024,11388.87523,,,false,false,,
+,1.8,582.31927,23677.57904,,,false,false,,
+,1.809,477.14288,30164.90952,,,false,false,,
-,1.81,455.23822,24069.19358,,,false,false,,
-,1.815,335.22656,15183.34378,,,false,false,,
+,1.815,482.36014,1150736.033,,,true,false,,
-,1.819,540.3681,170621.6676,,,true,false,,
-,1.819,466.33069,49699.63307,,,true,false,,
+,1.822,580.32922,15228.0079,,,false,false,,
+,1.822,878.64252,12863.11419,,,false,false,,
+,1.827,504.34402,56689.37014,,,false,false,,
-,1.828,351.23337,4969.677469,,,false,false,,
+,1.83,312.28958,9661.879837,,,false,false,,
+,1.845,502.32675,40258.82988,,,false,false,,
+,1.845,460.27963,16329.93598,,,false,false,,
-,1.846,307.26443,19200.58959,,,false,false,,
-,1.846,546.32153,1973.709834,,,false,false,,
+,1.846,288.28937,128259.08,,,false,false,,
-,1.847,436.28372,147049.3269,,,true,false,,
+,1.847,548.37134,860787.8024,LysoPC 20:2,,true,false,false,
+,1.847,438.29797,339666.8754,,,true,false,,
+,1.847,368.31393,30343.53612,,,false,false,,
+,1.848,480.34448,880216.3382,,,true,false,,
-,1.849,504.31073,610895.5381,LysoPE 20:2,,true,true,true,
+,1.85,532.30499,55535.10842,,,false,false,,
+,1.85,506.38358,17939.28173,,,false,false,,
-,1.851,395.24744,16908.094,,,false,false,,
-,1.851,536.20892,1391.019935,,,false,false,,
+,1.851,518.30145,12686.2689,,,false,false,,
-,1.852,606.37891,188468.3087,,,true,false,,
+,1.852,436.30569,152409.1472,,,false,false,,
+,1.853,357.32617,10925.99834,,,false,false,,
-,1.854,530.29004,25984.18244,,,true,false,,
+,1.854,506.32422,1052789.42,LysoPE 20:2,,true,true,false,
-,1.855,538.35242,119231.8712,,,true,false,,
-,1.856,576.30804,3530.53526,,,false,false,,
+,1.856,426.3576,1417045.95,AC 18:1,,true,true,false,
+,1.856,448.33978,14229.65044,,,false,false,,
+,1.859,549.375,233719.303,,,false,false,,
-,1.86,464.3154,41453.70667,,,false,false,,
+,1.86,365.30481,308963.3743,,,true,false,,
-,1.861,602.28815,7714.768078,,,false,false,,
+,1.861,544.27197,18182.53977,,,false,false,,
-,1.865,662.30078,6347.496293,,,false,false,,
+,1.866,465.34103,35948.78443,,,false,false,,
+,1.869,517.24792,17607.67585,,,false,false,,
+,1.869,488.3136,3280.492308,,,false,false,,
+,1.87,580.36115,70989.26279,,,false,false,,
+,1.871,387.19278,22978.79053,,,false,false,,
+,1.874,441.26089,1798322.613,,,true,false,,
+,1.875,303.19531,481135.9329,,,true,false,,
+,1.875,243.17435,211155.7344,,,true,false,,
+,1.875,535.21826,13250.81308,,,false,false,,
+,1.877,225.16382,513152.9488,,,true,false,,
+,1.877,493.37613,68213.22545,,,false,false,,
+,1.878,859.53357,303950.3875,,,true,false,,
+,1.879,249.16374,167802.0019,,,false,false,,
-,1.881,551.38446,11303.99677,,,false,false,,
+,1.883,285.18463,1269149.832,,,true,false,,
+,1.883,267.17429,246284.0618,,,false,false,,
+,1.884,419.27911,391460.203,,,true,false,,
+,1.885,860.53699,150841.5146,,,false,false,,
+,1.885,207.11678,9801.98364,,,false,false,,
+,1.887,854.57867,14998.15421,,,false,false,,
-,1.888,517.19049,32243.00419,,,true,false,,
+,1.89,876.5105,18588.19431,,,false,false,,
+,1.896,558.31976,160753.1956,,,true,false,,
-,1.897,250.1449,73946.03933,,,true,false,,
-,1.898,556.30554,64240.22952,,,true,false,,
-,1.902,588.33197,49483.50252,,,true,false,,
-,1.903,688.25635,2823.311714,,,false,false,,
-,1.906,554.32611,388936.9668,LysoPE 24:5,,true,false,false,
+,1.906,590.34637,9522.550693,,,false,false,,
-,1.907,589.33539,13897.99153,,,false,false,,
+,1.907,641.43481,170677.1506,,,false,false,,
+,1.907,391.32047,39740.35641,,,false,false,,
+,1.908,415.32068,95847.00147,,,false,false,,
+,1.909,556.33997,778372.0853,,,true,false,,
+,1.912,572.33368,34035.54461,,,false,false,,
+,1.915,530.28912,22350.07082,,,false,false,,
-,1.925,534.32068,11099.972,,,false,false,,
-,1.925,723.37421,5266.948716,,,false,false,,
-,1.932,508.29678,4315.783678,,,false,false,,
-,1.933,225.18567,31789.46806,,,false,false,,
+,1.933,508.3038,274332.8463,,,true,false,,
+,1.933,367.28412,77043.44508,,,false,false,,
-,1.934,505.28162,152863.6384,,,true,false,,
-,1.946,606.21545,3914.803742,,,false,false,,
+,1.95,304.20288,56868.01086,,,true,false,,
+,1.951,550.35071,416181.5424,,,true,false,,
-,1.952,640.42517,9766.932085,,,false,false,,
-,1.956,608.3584,62899.63708,,,true,false,,
-,1.956,466.2937,18315.32676,LysoPE 17:0,,true,false,false,
+,1.956,468.30817,42558.01439,,,false,false,,
+,1.958,212.23729,316382.4226,,,true,false,,
-,1.96,480.30997,17589.70016,,,false,false,,
-,1.96,721.46326,4578.831955,,,false,false,,
+,1.968,304.29959,3.326519721E7,,,false,false,,
-,1.969,492.3103,67499.52408,,,true,false,,
-,1.969,422.32822,148502.8491,,,true,false,,
-,1.971,638.30835,3544.987669,,,false,false,,
+,1.971,353.30511,33738.35672,,,false,false,,
+,1.973,643.56934,30928.76152,,,false,false,,
+,1.973,767.57587,12037.92933,,,false,false,,
-,1.975,656.23102,5062.694931,,,false,false,,
+,1.975,494.32376,134823.765,,,false,false,,
+,1.975,417.2999,39790.11823,,,false,false,,
-,1.976,483.3125,15403.20254,,,false,false,,
+,1.976,558.31982,366578.491,,,false,false,,
+,1.977,414.35812,36766.0403,,,false,false,,
+,1.978,580.30206,15101.01892,,,false,false,,
-,1.98,596.33527,20546.667,,,false,false,,
-,1.98,652.38519,18982.07335,,,false,false,,
-,1.98,654.28247,3665.089185,,,false,false,,
-,1.982,556.30554,169414.6179,,,true,false,,
-,1.983,495.33069,4679.09799,,,false,false,,
-,1.983,718.3338,3184.659029,,,false,false,,
+,1.983,510.35568,545681.9873,LysoPC 17:0,,true,true,false,
-,1.985,690.25995,4898.400098,,,false,false,,
+,1.985,415.3205,204605.3563,,,true,false,,
-,1.986,612.2854,825.3122766,,,false,false,,
+,1.986,556.3399,2234850.584,,,true,false,,
+,1.986,594.28949,58837.34325,,,false,false,,
+,1.986,600.30377,10765.21895,,,false,false,,
-,1.987,568.3631,97480.40941,LysoPC 17:0,,true,false,true,
-,1.987,654.25262,19303.77074,,,true,false,,
-,1.987,870.23169,3920.471005,,,false,false,,
-,1.987,908.18787,3458.945944,,,false,false,,
-,1.988,794.2453,3681.997052,,,false,false,,
+,1.988,594.37665,135742.6852,,,true,false,,
-,1.989,652.30377,23116.7285,,,false,false,,
+,1.989,578.32208,124188.975,,,true,false,,
+,1.989,692.26477,41494.45828,,,false,false,,
-,1.99,554.32629,1217249.395,LysoPE 24:5,,true,true,false,
-,1.99,712.31598,18810.60486,,,false,false,,
-,1.99,357.28018,16127.24932,,,false,false,,
-,1.99,1109.65857,5664.525011,,,false,false,,
-,1.99,674.28564,13177.88974,,,false,false,,
-,1.99,750.27216,7606.624695,,,false,false,,
-,1.99,772.25922,7218.471965,,,false,false,,
+,1.99,466.32947,38275.24286,,,false,false,,
+,1.99,1111.6731,10861.41171,,,false,false,,
-,1.991,636.32916,20906.04897,,,true,false,,
+,1.991,321.27612,32254.85326,,,false,false,,
-,1.992,794.31854,5121.187673,,,false,false,,
-,1.994,788.23047,5350.717096,,,false,false,,
-,1.994,886.20288,2795.015774,,,false,false,,
-,1.997,658.37378,15264.88141,,,false,false,,
+,1.997,790.2406,16911.5024,,,false,false,,
+,2.0,636.34351,14780.8635,,,false,false,,
+,2.001,600.36621,91388.17671,,,true,false,,
-,2.003,606.32074,3220.210157,,,false,false,,
-,2.011,289.16623,12780.06767,,,false,false,,
-,2.014,388.22479,26404.03432,,,true,false,,
-,2.016,566.38373,111055.1367,,,true,false,,
-,2.016,492.34686,23948.20961,,,true,false,,
-,2.016,582.3576,14004.68561,,,false,false,,
+,2.017,620.36737,30123.79493,,,false,false,,
-,2.018,205.15935,87838.40783,,,true,false,,
+,2.021,390.23871,139894.6021,,,true,false,,
+,2.021,530.35822,32049.09978,,,false,false,,
+,2.021,635.53241,16346.71446,,,false,false,,
-,2.022,656.3949,186487.6898,LysoPC 24:5,,true,false,false,
+,2.026,508.37646,658896.9851,,,true,false,,
+,2.026,522.37695,28093.73679,,,false,false,,
+,2.027,598.38733,740551.8913,,,true,false,,
-,2.031,694.35095,5386.170558,,,false,false,,
+,2.034,273.09094,21141.61453,,,false,false,,
-,2.036,462.2999,61473.14406,,,true,false,,
+,2.037,670.33966,6328.596718,,,false,false,,
-,2.042,301.16623,13866.36552,,,false,false,,
+,2.042,464.31384,153121.9904,,,true,false,,
+,2.045,506.36063,313826.589,,,true,false,,
+,2.052,755.53156,13402.22176,,,false,false,,
-,2.054,490.33084,8480.511771,,,false,false,,
+,2.054,325.22726,69671.57448,,,true,false,,
-,2.057,564.36792,40369.01362,,,true,false,,
+,2.063,369.32773,5544.032472,,,false,false,,
+,2.065,528.34265,14066.63431,,,false,false,,
+,2.07,980.70978,8210.320438,,,false,false,,
+,2.075,739.4035,10864.67608,,,false,false,,
-,2.08,737.38983,20801.62533,,,true,false,,
+,2.083,479.37357,7579.384689,,,false,false,,
-,2.085,757.41614,3241.660243,,,false,false,,
-,2.089,213.18581,9933.294376,,,false,false,,
+,2.094,721.3941,6474.154194,,,false,false,,
+,2.111,678.47894,15266.35404,,,false,false,,
+,2.112,489.26205,1952.539013,,,false,false,,
+,2.118,300.32639,198891.4135,,,true,false,,
+,2.119,376.35721,6097.903387,,,false,false,,
+,2.121,634.45306,12054.52997,,,false,false,,
+,2.124,722.43982,13201.89251,,,false,false,,
-,2.128,564.33173,11948.06532,,,true,false,,
+,2.129,942.63763,4945.366928,,,false,false,,
+,2.13,648.42438,170064.9045,,,true,false,,
+,2.132,252.26848,5055.329041,,,false,false,,
-,2.134,597.28687,7455.841898,,,false,false,,
+,2.134,522.32117,6147.22047,,,false,false,,
-,2.136,538.31598,17632.00869,,,true,false,,
+,2.136,282.27924,136193.9863,SP d18:1,,true,false,false,
+,2.137,491.30087,27127.29661,,,false,false,,
+,2.138,898.61066,8563.675964,,,false,false,,
+,2.141,256.2999,10534.47258,,,false,false,,
+,2.145,566.43982,8563.503256,,,false,false,,
+,2.151,652.38367,20452.24644,,,false,false,,
+,2.153,340.29306,1942.406696,,,false,false,,
+,2.154,657.4306,3607.892109,,,false,false,,
+,2.155,530.23517,15158.83094,,,false,false,,
+,2.156,1170.8313,3898.038869,,,false,false,,
+,2.158,657.39575,3260.027652,,,false,false,,
-,2.16,650.36853,10258.69497,,,false,false,,
+,2.161,686.32513,3641.157857,,,false,false,,
+,2.162,546.31958,10434.25836,,,false,false,,
-,2.163,508.28284,3861.169949,,,false,false,,
-,2.166,542.32629,18308.47744,,,true,false,,
+,2.168,578.34613,18651.49403,,,false,false,,
+,2.169,532.34033,1078479.701,LysoPE 22:3,,true,false,false,
+,2.169,391.32074,128077.6741,,,true,false,,
-,2.17,530.32611,663275.0158,LysoPE 22:3,,true,true,true,
-,2.173,666.40082,17384.20639,,,false,false,,
+,2.176,608.39282,126546.5445,,,true,false,,
+,2.176,810.55774,20184.11458,,,false,false,,
+,2.177,743.43817,3253.280817,,,false,false,,
+,2.18,588.36652,3080.789375,,,false,false,,
+,2.181,630.37555,7080.713101,,,false,false,,
+,2.186,448.35516,9522.544822,,,false,false,,
+,2.187,582.35614,24855.77361,LysoPE 26:6,,false,false,false,
-,2.19,580.34192,12548.70173,,,true,false,,
+,2.19,855.58746,2817.627943,,,false,false,,
+,2.201,452.31323,18332.04673,,,false,false,,
+,2.205,566.3222,6144.256746,,,false,false,,
+,2.208,722.50629,34038.73885,,,false,false,,
-,2.213,681.42004,5473.434165,,,false,false,,
+,2.213,316.28458,4418.338055,,,false,false,,
+,2.213,642.37482,3285.915925,,,false,false,,
+,2.215,228.26872,101632.539,,,true,false,,
+,2.218,586.38812,9661.060437,,,false,false,,
-,2.224,311.20227,3922.928801,,,false,false,,
+,2.226,815.7204,7715.546975,,,false,false,,
+,2.229,452.37341,36420.14135,,,false,false,,
+,2.232,656.39111,14693.13137,,,false,false,,
+,2.233,494.36093,77413.60994,,,true,false,,
+,2.234,678.47949,57305.6608,,,false,false,,
+,2.236,647.534,90782.12297,,,true,false,,
+,2.241,623.41235,83743.19366,,,false,false,,
+,2.243,517.29596,9649.450716,,,false,false,,
+,2.243,699.3125,9285.19671,,,false,false,,
+,2.244,532.55988,12388.81366,,,false,false,,
+,2.246,634.453,51014.39956,,,false,false,,
+,2.246,768.18768,4029.031894,,,false,false,,
+,2.248,499.37469,17042.17587,,,false,false,,
-,2.249,489.30188,9810.069833,,,true,false,,
+,2.249,242.28415,13911.37481,,,false,false,,
+,2.249,908.17883,3686.460496,,,false,false,,
+,2.25,638.43732,3760.516605,,,false,false,,
-,2.251,732.28894,5985.759145,,,false,false,,
+,2.251,924.14734,12099.49628,,,false,false,,
+,2.251,706.21893,6124.778564,,,false,false,,
-,2.252,770.2442,7215.374524,,,false,false,,
-,2.252,950.30072,1201.02963,,,false,false,,
-,2.253,868.29236,3874.455555,,,false,false,,
+,2.253,576.30414,23764.13428,,,false,false,,
+,2.253,592.27802,12315.46898,,,false,false,,
+,2.253,439.28427,6882.5652,,,false,false,,
-,2.254,666.25891,8716.831129,,,false,false,,
-,2.254,786.21906,4562.340434,,,false,false,,
-,2.254,530.54889,4230.447483,,,false,false,,
-,2.254,846.23126,9737.447364,,,false,false,,
+,2.254,1085.65442,14608.07479,,,false,false,,
+,2.254,514.32977,18870.26629,,,false,false,,
+,2.254,674.28326,6722.475529,,,false,false,,
+,2.254,708.21863,3234.113739,,,false,false,,
-,2.255,333.28027,43206.22322,,,false,false,,
-,2.255,824.24231,3622.608481,,,false,false,,
+,2.255,391.32068,553320.8713,,,true,false,,
+,2.255,788.22235,18253.68042,,,false,false,,
+,2.255,902.16718,6285.737748,,,false,false,,
+,2.255,360.3259,7207.319279,,,false,false,,
+,2.255,1123.60828,2216.867852,,,false,false,,
-,2.256,630.25195,52436.83731,,,true,false,,
-,2.256,688.31598,45882.99964,,,false,false,,
-,2.256,764.2287,11746.76575,,,false,false,,
-,2.256,1103.70508,3938.03676,,,false,false,,
+,2.256,554.3222,212719.4371,,,true,false,,
+,2.256,766.2392,32540.58586,,,false,false,,
+,2.256,690.24646,19581.4499,,,false,false,,
+,2.256,686.23523,7954.141577,,,false,false,,
-,2.257,612.32947,45052.77732,,,false,false,,
-,2.257,1083.64124,6895.951277,,,false,false,,
-,2.257,862.20349,7046.593381,,,false,false,,
-,2.257,646.26837,3331.92144,,,false,false,,
-,2.257,588.28564,2541.353909,,,false,false,,
+,2.257,532.3399,3781394.616,LysoPE 22:3,,true,true,false,
+,2.257,652.28986,31542.05485,,,false,false,,
+,2.257,804.18872,13863.44175,,,false,false,,
+,2.257,590.39343,13403.3503,,,false,false,,
+,2.257,670.21179,3604.965411,,,false,false,,
-,2.258,1061.65881,26125.53509,,,true,false,,
-,2.258,650.28534,26223.90989,,,true,false,,
-,2.258,628.30341,36716.64082,,,true,false,,
-,2.258,737.39014,7694.402833,,,false,false,,
-,2.258,900.15948,1840.704998,,,false,false,,
-,2.258,786.28961,6850.771787,,,false,false,,
-,2.258,410.32822,5857.430021,,,false,false,,
-,2.258,808.27667,5044.479498,,,false,false,,
-,2.258,906.17255,3940.33248,,,false,false,,
-,2.258,1181.62097,2289.323983,,,false,false,,
+,2.258,1063.67358,59099.38029,,,true,false,,
+,2.258,668.26459,60766.25379,,,true,false,,
+,2.258,479.27667,20413.33089,,,false,false,,
+,2.258,509.23306,5812.436589,,,false,false,,
-,2.259,530.32611,2235927.535,LysoPE 22:3,,true,true,true,
-,2.259,726.27191,15504.04221,,,true,false,,
-,2.259,748.25989,14231.20465,,,false,false,,
-,2.259,770.31976,10838.95578,,,false,false,,
-,2.259,694.33301,5917.526299,,,false,false,,
+,2.259,570.28955,123689.4261,,,true,false,,
+,2.259,435.25101,45326.93405,,,false,false,,
-,2.26,530.10443,4572.592568,,,false,false,,
+,2.26,1101.62134,8849.457046,,,false,false,,
-,2.261,710.3053,7632.079496,,,false,false,,
-,2.261,868.21527,4943.527195,,,false,false,,
-,2.261,830.25885,4231.103133,,,false,false,,
-,2.261,1159.62878,2614.597295,,,false,false,,
+,2.261,419.27686,45927.18348,,,false,false,,
+,2.261,886.19922,5696.414252,,,false,false,,
+,2.261,532.10706,9713.422647,,,false,false,,
+,2.261,822.16229,4157.722983,,,false,false,,
-,2.262,756.44849,3330.419081,,,false,false,,
+,2.262,698.43964,31623.68927,,,false,false,,
-,2.263,299.2019,25074.97967,,,true,false,,
-,2.263,884.1889,7265.176796,,,false,false,,
+,2.263,728.27728,12931.29143,,,false,false,,
+,2.264,588.25946,10776.0557,,,false,false,,
+,2.264,476.3736,1048.50589,,,false,false,,
+,2.265,590.4339,59332.37629,,,false,false,,
+,2.265,612.34167,18902.49279,,,false,false,,
-,2.266,433.33374,5218.117245,,,false,false,,
+,2.266,546.40039,62081.78812,,,false,false,,
+,2.268,341.30481,35305.93205,,,false,false,,
-,2.272,371.22287,6341.76032,,,false,false,,
-,2.28,558.35706,26405.9054,,,true,false,,
+,2.28,370.29532,78026.45341,,,true,false,,
+,2.285,458.34814,112748.2089,,,true,false,,
-,2.286,609.4104,8017.884619,,,false,false,,
+,2.288,627.42041,46770.03072,,,false,false,,
-,2.292,632.39459,262284.3174,LysoPC 22:3,,true,true,true,
-,2.293,323.25934,20305.6345,,,true,false,,
+,2.293,574.38745,1009593.56,,,true,false,,
+,2.293,391.22485,91710.11337,,,true,false,,
+,2.293,271.15381,12238.52003,,,false,false,,
+,2.294,611.4245,104789.9885,,,true,false,,
+,2.294,454.33002,23514.84238,,,false,false,,
+,2.297,502.37418,67692.73591,,,true,false,,
+,2.297,562.32733,19365.58929,,,false,false,,
-,2.299,670.35107,5741.485118,,,false,false,,
+,2.299,596.36926,48163.90086,,,false,false,,
+,2.299,330.31564,7087.942864,,,false,false,,
+,2.302,892.65503,8327.433389,,,false,false,,
-,2.303,419.25766,7841.954146,,,true,false,,
+,2.307,421.27148,10919.71137,,,false,false,,
+,2.307,672.35596,9756.558826,,,false,false,,
+,2.309,244.20605,14938.5744,,,false,false,,
-,2.31,714.39813,2546.375239,,,false,false,,
+,2.311,520.34082,55816.99568,,,true,false,,
+,2.313,397.29501,50733.38558,,,true,false,,
-,2.314,518.32593,33365.66154,,,true,false,,
+,2.314,663.52893,32800.37733,,,false,false,,
+,2.314,379.32071,11275.4971,,,false,false,,
+,2.322,441.32135,19398.02825,,,false,false,,
-,2.324,692.41638,12657.30758,,,false,false,,
+,2.326,556.37744,861.3617463,,,false,false,,
-,2.33,627.35278,2681.826794,,,false,false,,
+,2.332,348.3262,13804.98415,,,false,false,,
-,2.342,301.21759,101955.4325,,,false,false,,
-,2.343,554.38416,3950.931207,,,false,false,,
+,2.346,562.38757,22849.45666,,,false,false,,
+,2.351,496.37692,27277.9292,,,false,false,,
-,2.353,251.20178,83149.94335,,,true,false,,
+,2.361,440.37344,13648.23571,,,false,false,,
+,2.366,626.38196,7671.130138,,,false,false,,
+,2.38,314.30545,13552.06604,,,false,false,,
+,2.383,592.36139,8329.660817,,,false,false,,
+,2.384,580.39758,13880.76123,,,false,false,,
+,2.387,452.31342,11436.71825,,,false,false,,
+,2.395,1082.77881,6216.59966,,,false,false,,
+,2.399,622.40875,107234.869,,,true,false,,
+,2.399,1038.75439,4870.987931,,,false,false,,
-,2.41,552.33252,6275.790645,,,false,false,,
+,2.416,364.3215,5858.680468,,,false,false,,
-,2.417,582.3219,10748.08198,,,false,false,,
-,2.418,341.27017,3930.722468,,,false,false,,
+,2.418,554.34637,7810.841312,,,false,false,,
+,2.422,584.33563,23001.00196,,,false,false,,
+,2.427,666.40027,10257.68885,,,false,false,,
+,2.43,661.4928,11650.80792,,,false,false,,
-,2.432,719.49817,2428.313187,,,false,false,,
-,2.433,383.22083,4680.581416,,,false,false,,
-,2.434,420.32535,11499.33761,,,false,false,,
+,2.435,436.35556,346990.9969,,,true,false,,
-,2.436,494.3624,32413.47358,,,true,false,,
-,2.438,257.22778,4735.696928,,,false,false,,
-,2.441,301.21756,224506.7514,,,false,false,,
-,2.448,401.14319,9181.819401,,,true,false,,
-,2.461,638.34564,3065.369233,,,false,false,,
+,2.461,580.33807,16948.35093,,,false,false,,
-,2.462,654.31854,2794.913568,,,false,false,,
+,2.462,511.39017,11940.83515,,,false,false,,
+,2.464,514.33002,5326.922548,,,false,false,,
+,2.466,558.35608,321401.4647,LysoPE 24:4,,true,false,false,
-,2.467,556.3526,187893.4924,LysoPE 24:4,,false,false,true,
+,2.469,417.33649,30315.83603,,,true,false,,
+,2.469,596.30438,8028.409912,,,false,false,,
+,2.469,694.27972,4006.983754,,,false,false,,
+,2.471,287.2005,6862.276895,,,false,false,,
+,2.475,996.70477,4732.987278,,,false,false,,
+,2.497,302.30527,22952.21058,,,false,false,,
-,2.508,583.38202,126045.2754,,,false,false,,
+,2.508,479.34851,30171.98818,,,false,false,,
+,2.509,908.65228,20183.36771,,,false,false,,
-,2.513,309.28,21857.91865,,,false,false,,
-,2.513,626.28503,5108.4286,,,false,false,,
+,2.513,508.34027,1439160.167,LysoPE 20:1,,true,true,false,
+,2.513,367.32062,316153.7578,,,true,false,,
+,2.516,490.32925,8953.904631,,,false,false,,
-,2.517,658.41028,24695.43046,LysoPC 24:4,,true,false,true,
+,2.517,546.28912,21813.9378,,,false,false,,
-,2.519,606.25153,15246.10293,,,true,false,,
+,2.519,644.26422,14921.2447,,,false,false,,
-,2.52,506.32526,644330.5014,,,true,false,,
-,2.52,664.31567,8913.059589,,,false,false,,
-,2.52,588.3291,8576.811553,,,false,false,,
-,2.521,1029.6908,10225.07602,,,false,false,,
+,2.523,989.65912,6961.593842,,,false,false,,
-,2.524,580.23621,19015.09833,,,true,false,,
-,2.524,604.30286,8232.047126,,,false,false,,
-,2.526,239.20152,10698.63143,,,false,false,,
+,2.526,600.40277,94148.90072,LysoPC 24:4,,true,false,false,
+,2.527,864.62622,36714.64453,,,false,false,,
+,2.527,640.22937,5967.510715,,,false,false,,
+,2.528,464.31384,86566.29287,,,true,false,,
+,2.528,450.29089,11447.30767,,,false,false,,
+,2.529,602.2757,7441.721294,,,false,false,,
-,2.53,578.28772,11959.19997,,,false,false,,
+,2.53,482.32452,1796959.073,LysoPE 18:0,,true,true,false,
+,2.53,580.29333,17351.06559,,,false,false,,
+,2.53,1031.70776,4767.518644,,,false,false,,
-,2.531,480.31015,967955.0778,LysoPE 18:0,,true,true,true,
-,2.531,676.25531,5778.141892,,,false,false,,
+,2.531,504.30792,105000.5395,,,true,false,,
+,2.531,520.27417,23884.43219,,,false,false,,
+,2.531,310.3103,8684.286208,,,false,false,,
-,2.532,638.30023,15263.33463,,,false,false,,
-,2.532,562.31439,14263.12289,,,true,false,,
+,2.532,341.30481,77683.20807,,,true,false,,
+,2.533,1005.68951,11498.61921,,,false,false,,
+,2.533,716.22424,13947.6998,,,false,false,,
+,2.533,963.6416,7668.229602,,,false,false,,
-,2.534,600.26947,9222.580242,,,false,false,,
+,2.534,618.24805,22590.68992,,,false,false,,
+,2.535,678.26465,10966.68111,,,false,false,,
-,2.536,349.24207,38627.15273,,,true,false,,
-,2.536,758.25861,2519.743304,,,false,false,,
+,2.536,636.42426,96312.26425,,,false,false,,
-,2.538,590.34778,5575.082984,,,false,false,,
-,2.539,1003.67566,17207.54125,,,true,false,,
+,2.54,376.3573,10225.00314,,,false,false,,
-,2.541,736.27209,3181.239649,,,false,false,,
+,2.545,501.32758,5960.533502,,,false,false,,
+,2.549,820.59967,56715.78481,,,false,false,,
-,2.553,297.04733,15706.68304,,,true,false,,
+,2.56,550.3869,467574.0425,LysoPC 20:1,,true,false,false,
+,2.564,524.5899,30546.36935,,,false,false,,
+,2.564,594.41357,13020.27733,,,false,false,,
-,2.565,608.39459,105848.0001,LysoPC 20:1,,true,false,true,
+,2.571,776.57367,80692.58852,,,true,false,,
-,2.577,854.23657,6400.217139,,,false,false,,
-,2.577,560.33099,6179.716374,,,false,false,,
-,2.577,822.29834,4589.122854,,,false,false,,
-,2.578,882.30737,4976.380139,,,false,false,,
+,2.578,524.15326,32092.7634,,,false,false,,
-,2.579,758.34326,7269.016302,,,false,false,,
-,2.583,640.2937,14081.42511,,,false,false,,
-,2.583,568.3631,6497.245511,,,false,false,,
-,2.583,860.25037,5356.958374,,,false,false,,
+,2.583,562.32733,260748.6782,,,true,false,,
